16:37:54.145 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.169 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.169 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x70 version=1
16:37:54.175 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x72] to node 20
16:37:54.241 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.285 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.308 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.309 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x72 version=1
16:37:54.316 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x85] to node 20
16:37:54.384 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.427 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.451 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.451 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x85 version=1
16:37:54.459 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x86] to node 20
16:37:54.526 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.568 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.593 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.594 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x86 version=1
16:37:54.599 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x8E] to node 20
16:37:54.667 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.710 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.734 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.734 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x8E version=1
16:37:54.740 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0xEF] to node 20
16:37:54.807 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.849 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.873 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.874 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0xEF version=1
16:37:54.880 INFO [Node.h:526                    ] >> NODE MANUFACTURER_SPECIFIC_COMMAND_CLASS_GET to node 20
